round,type,position,driver,points
13,race,15,MAG,0
13,race,16,RIC,0
13,race,17,SAR,0
13,race,18,HUL,0
13,race,19,SAI,0
13,race,20,PIA,0
14,race,1,VER,25
14,race,2,ALO,19
14,race,3,GAS,15
14,race,4,PER,12
14,race,5,SAI,10
14,race,6,HAM,8
14,race,7,NOR,6
14,race,8,ALB,4
14,race,9,PIA,2
14,race,10,OCO,1
14,race,11,STR,0
14,race,12,HUL,0
14,race,13,LAW,0
14,race,14,BOT,0
14,race,15,TSU,0
14,race,16,MAG,0
14,race,17,RUS,0
14,race,18,ZHO,0
14,race,19,LEC,0
14,race,20,SAR,0
15,race,1,VER,25
15,race,2,PER,18
15,race,3,SAI,15
15,race,4,LEC,12
15,race,5,RUS,10
15,race,6,HAM,8
15,race,7,ALB,6
15,race,8,NOR,4
15,race,9,ALO,2
15,race,10,BOT,1
15,race,11,LAW,0
15,race,12,PIA,0
15,race,13,SAR,0
15,race,14,ZHO,0
15,race,15,GAS,0
15,race,16,STR,0
15,race,17,HUL,0
15,race,18,MAG,0
15,race,19,OCO,0
15,race,20,TSU,0
16,race,1,SAI,25
16,race,2,NOR,18
16,race,3,HAM,16
16,race,4,LEC,12
16,race,5,VER,10
16,race,6,GAS,8
16,race,7,PIA,6
16,race,8,PER,4
16,race,9,LAW,2
16,race,10,MAG,1
16,race,11,ALB,0
16,race,12,ZHO,0
16,race,13,HUL,0
16,race,14,SAR,0
16,race,15,ALO,0
16,race,16,RUS,0
16,race,17,BOT,0
16,race,18,OCO,0
16,race,19,TSU,0
16,race,20,STR,0
17,race,1,VER,26
17,race,2,NOR,18
17,race,3,PIA,15
17,race,4,LEC,12
17,race,5,HAM,10
17,race,6,SAI,8
17,race,7,RUS,6
17,race,8,ALO,4
17,race,9,OCO,2
17,race,10,GAS,1
17,race,11,LAW,0
17,race,12,TSU,0
17,race,13,ZHO,0
17,race,14,HUL,0
17,race,15,MAG,0
17,race,16,ALB,0
17,race,17,SAR,0
17,race,18,STR,0
17,race,19,PER,0
17,race,20,BOT,0
4,sprint,1,PER,8
4,sprint,2,LEC,7
4,sprint,3,VER,6
4,sprint,4,RUS,5
4,sprint,5,SAI,4
4,sprint,6,ALO,3
4,sprint,7,HAM,2
4,sprint,8,STR,1
4,sprint,9,ALB,0
