player,driver,start_round,end_round
Toby,PIA,14,23
Toby,NOR,14,23
Toby,BOT,14,14
Toby,ALB,15,16
Toby,TSU,17,23
Finn,LEC,14,15
Finn,LEC,16,23
Finn,PIA,14,23
Finn,LAW,14,18
Finn,RIC,19,23
Lisa,PER,14,16
Lisa,ALO,14,16
Lisa,NOR,14,23
Lisa,PIA,17,23
Lisa,SAI,17,23
Mark,STR,14,23
Mark,HAM,14,23
Mark,SAI,14,23
Zack,PER,14,23
Zack,HAM,14,23
Zack,LEC,14,23
James,LAW,14,18
James,RIC,19,23
James,TSU,14,23
James,ZHO,14,23
Beth,ALO,14,23
Beth,NOR,14,23
Beth,TSU,14,23
